Place,Times,Recommended
35863,1,1
364,3,1
663,2,1
5705,4,0
107629,3,1
75029,3,1
3201,8,1
10756,1,1
169094,1,1
884,6,0
42535,1,1
917,3,1
7678,7,1
28279,21,1
31112,13,0
124918,7,0
4829,11,0
21237,5,1
76770,17,0
3250,9,0
7859,7,1
13624,14,1
38689,11,0
12989,5,1
50314,15,0
3246,3,1
360,28,1
15146,15,0
166526,3,1
5744,46,1
4869,3,1
34239,2,1
12741,3,1
448,4,1
46034,6,0
5900,3,1
11108,3,1
4912,3,1
47405,6,0
1378,9,0
14188,11,0
20043,7,1
205,31,0
17026,3,1
184152,6,1
13212,3,0
122882,2,0
7357,12,0
158746,1,1
13446,4,1
102278,8,1
10073,19,1
21347,1,1
7797,9,0
32593,5,1
10401,2,1
20248,2,1
5426,3,1
7332,18,0
9870,15,0
21395,19,1
101967,4,1
772,2,1
47196,1,1
17059,3,1
25967,11,1
81990,4,1
1930905,6,0
408,29,0
15139,34,1
13923,6,1
23791,8,0
12903,38,0
121898,3,1
33642,2,1
106165,1,1
70160,5,1
36707,8,1
78902,14,0
23313,10,1
13815,9,0
184240,2,0
5000,3,1
14250,14,0
68983,2,1
16847,6,1
30415,4,1
27776,7,0
40177,6,1
173414,42,0
23069,5,1
20614,15,1
1069,3,1
16672,8,1
15892,4,1
10969,1,1
8668,3,1
13890,3,0
200,16,1
4749,12,0
1006288,5,1
79880,4,1
11255,4,1
9817,4,1
14914,3,1
1218,11,0
34973,9,0
175522,2,1
4576,2,1
29758,7,1
1930899,4,1
27274,7,1
24640,6,0
64714,3,1
13467,3,1
183876,18,1
1038,4,1
2167106,1,1
13283,8,0
655358,3,1
13603,3,1
172,22,1
23468,9,0
5760,3,1
2606,3,1
1211,19,0
16437,5,1
13694,1,1
14903,2,1
12790,38,0
72267,6,1
14218,4,0
910,9,1
10835,26,0
42655,3,1
101692,3,1
44437,1,1
71641,7,1
148562,5,1
10289,10,0
908,26,0
19576,1,1
53814,3,1
15606,7,0
81616,25,1
13015,19,0
143744,3,1
11860,2,1
4898,2,1
26428,4,1
3227,10,0
4707,1,1
25701,2,1
27780,18,0
146020,4,1
6305,8,0
15661,2,1
1001,6,1
14086,4,1
12700,35,1
265356,2,1
8674,2,1
8180,1,1
13983,4,1
5863,4,1
27108,2,1
33542,3,1
9615,15,1
8223,22,0
3281,16,0
59059,16,1
20121,1,1
99804,2,1
6907,2,1
13108,16,0
13119,6,1
174371,1,1
20,28,0
145771,3,1
26651,1,1
20804,4,1
1192,8,1
13074,1,1
10782,11,1
78642,9,1
23401,3,1
263400,8,0
97287,12,0
13740,16,0
11884,19,1
166334,2,1
12568,8,0
21397,2,1
808115,2,1
22318,4,1
27553,2,0
5639,20,1
4626,11,1
9450,3,1
31853,20,0
17405,9,0
19734,3,1
8893,5,1
125941,9,0
5612,3,1
12052,6,1
1170409,2,1
15599,7,1
37855,8,1
10947,12,0
110328,4,1
45067,8,1
25423,1,1
12037,9,0
123,21,0
49111,29,0
25295,3,1
164,3,1
5474,7,0
2133943,2,1
6960,8,1
12252,13,1
5862,2,1
9335,9,0
38920,2,1
57281,5,1
81816,18,0
28788,20,0
16054,3,1
6251,31,1
9962,3,1
47056,5,1
3423,20,0
49624,13,1
27050,16,0
16983,22,0
723,7,1
83,6,1
38551,3,1
7599,8,0
18024,2,1
13750,15,0
6894,11,1
9150,19,1
30858,1,1
15456,5,0
15795,3,1
13394,23,1
12898,1,1
72205,2,1
1137,4,0
21413,10,1
4340,2,1
32220,17,0
1060,5,1
1443163,4,1
395,12,0
22218,59,0
264922,2,1
304541,3,1
1177,31,0
15,2,1
16675,3,1
11790,7,1
695248,9,0
21513,4,1
474,3,1
103337,2,1
5648,9,1
20006,4,1
161404,4,1
11193,2,1
12345,5,1
228590,1,1
57328,38,0
386324,8,0
43192,10,0
28692,1,1
17319,2,1
24745,2,1
4318,5,1
29079,6,0
12118,41,0
2577,10,0
58432,2,1
9602,4,1
12927,13,0
23596,6,1
554,13,0
12719,12,1
116307,2,1
26921,2,1
15541,9,0
9156,5,1
19433,3,1
12641,11,0
21795,14,1
31052,13,0
51385,7,1
21826,6,1
28929,14,0
905,8,1
46923,1,1
69575,2,1
31045,3,1
7594,15,0
79240,2,1
359,4,1
14119,3,1
2585,19,0
1016,8,1
25845,4,1
4731,12,0
107254,2,0
29092,14,1
9743,3,1
4429,31,0
10690,6,1
1289,4,0
4523,3,1
51419,5,1
339,5,1
120668,21,0
10302,9,1
12495,5,1
36438,15,0
45847,2,1
151376,2,1
4954,5,1
355,11,0
12134,11,0
24518,14,1
16953,14,0
57887,2,1
158958,2,1
886,22,0
35522,5,1
9137,5,1
32603,11,0
36389,2,1
985,49,0
13263,12,1
10072,2,1
12268,14,0
31117,6,1
56898,13,0
75835,2,1
33826,3,1
585,3,0
10904,10,1
12094,9,0
11882,20,0
8698,11,1
423,12,1
1020676,1,0
13690,2,1
35966,5,0
74923,5,1
653,4,1
80350,6,1
20356,8,1
3446,4,1
781,3,1
1760748,36,0
4342,1,1
1111,4,1
560405,2,1
7051,8,1
309,16,0
4145,20,0
33743,4,1
16254,15,0
23773,13,0
7633,19,0
12735,8,0
13101,43,0
26200,9,0
4529,18,0
20130,2,1
192063,16,1
79541,2,1
183825,3,1
29577,2,0
25708,9,0
14143,2,1
995935,3,1
64882,11,0
30941,7,1
